id;distancia;velocidad;costo;paths;factor_trafico
35339031;0.8765197;40.0;0.0036521500000000003;[32775468, 32775522, 33784606, 37749490, 52967822, 52967837, 111883864];1
35451261;0.21700730000000001;40.0;0.00108504;[27767565, 35186077, 35186106, 35451281, 35451283];4
35451262;0.2208767;40.0;0.001380475;[27767565, 35186077, 35186106, 35451281, 35451283];3
35451271;0.2161127;40.0;0.0027014;[27767565, 35186077, 35186106];1
35451281;0.2157537;40.0;0.0026969000000000003;[35451261, 35451262, 35451282];1
35451282;0.2159776;40.0;0.00107988;[27767565, 35186077, 35186106, 35451281, 35451283];4
35451283;0.2159484;40.0;0.0026994000000000002;[35451261, 35451262, 35451282];1
35451291;0.1308732;40.0;0.0032718;[35186079];1
35451294;0.143204;40.0;0.00179005;[35451297];2
35451297;0.2217546;40.0;0.0009239833333333333;[27925322, 35186077, 35451294];5
35451299;0.1287668;40.0;0.0032192;[27925322, 35186077];1
35451310;0.2733836;60.0;0.0011391;[27877445, 35186104, 35451406, 35451414, 121484522];3
35451311;0.5900243000000001;40.0;0.0016389444444444444;[27877445, 35451375, 111960753, 111969585, 121484520];3
35451368;0.3808124;40.0;0.0023800749999999997;[27877445, 35451375, 111898476, 121484520];2
35451369;0.3962323;40.0;0.00247645;[27877445, 35451375, 111898476, 121484520];2
35451375;0.2415717;40.0;0.0008627714285714286;[27767529, 35451311, 35451368, 35451369, 35451376];6
35451376;0.4235396;40.0;0.00211772;[27877445, 35451375];2
35451406;0.4293905;40.0;0.0011927666666666668;[35451310, 35451417, 35451419, 35451434, 35451435];4
35451411;0.2935641;40.0;0.0018347749999999999;[121484522, 154807044];2
35451414;0.1937488;40.0;0.0012109249999999998;[35451310];4
35451417;0.220473;40.0;0.0011023399999999998;[27767564, 35451406];4
35451419;0.4270074;40.0;0.001186111111111111;[27767564, 35451406];4
35451434;0.093518;40.0;0.0011689500000000002;[27767564, 35451406];4
35451435;0.0739891;40.0;0.0018497;[27767564, 35451406];2
35451496;0.353495;40.0;0.0044187;[27767571, 43476287];1
35451500;0.6482601;40.0;0.0014733181818181818;[27767571, 27945318, 36777501, 36777564, 36777603, 36777782, 36777800, 37018338, 37018347, 154483635];3
35486851;0.570874;40.0;0.0015857777777777777;[35486853, 35486854, 35486856, 35486871, 35486959, 35486961, 42337956, 129897416, 129897420];3
35486853;0.4987216;40.0;0.0012468099999999999;[24305428, 35486851, 35486855, 35486857, 35486872, 35486880, 35487084, 111965042, 207984573];4
